,title,author,publisher,publish_year
0,피톨로지 피트니스 영양학,이호욱,예문당,2021년 09월 23일 출간
1,이명이 사라지는 순간,김혜연,라온북,2021년 10월 18일 출간
2,오늘부터 수승화강,이승헌,한문화,2021년 05월 20일 출간
3,백년허리. 2: 치료편,정선근,언탱글링,2021년 05월 13일 출간
4,백년허리. 1: 진단편(개정증보판),정선근,언탱글링,2021년 04월 15일 출간
5,백년운동,정선근,아티잔,2019년 10월 31일 출간
6,사라진 암,한상도,사이몬북스,2021년 10월 25일 출간
7,초격차 다이어트(압도적 체지방 감량 비법),이정윤,맛있는책방,2021년 09월 23일 출간
8,강경원의 백 투 베이직(반양장),강경원,세미콜론,2021년 07월 22일 출간
9,"나는 101세, 현역 의사입니다",다나카 요시오,홍성민,2021년 08월 25일 출간
10,허리 좀 펴고 삽시다,기쿠치 신이치,이지현,2021년 10월 25일 출간
11,백년 목,정선근,사이언스북스,2017년 11월 30일 출간
12,"암, 더 이상 감출 수 없는 진실",트래비스 크리스토퍼슨,조은아,2018년 01월 15일 출간
13,무릎 좀 펴고 삽시다,구로사와 히사시,김은혜,2021년 10월 25일 출간
14,병의 90%는 걷기만 해도 낫는다,나가오 가즈히로,이선정,2016년 09월 26일 출간
15,환자 혁명,조한경,에디터,2017년 11월 11일 출간
16,핏블리의 헬스 다이어트 전략집,핏블리(문석기),비타북스,2021년 05월 31일 출간
17,닥터딩요의 백년 건강,김태균(닥터딩요),21세기북스,2021년 10월 25일 출간
18,필라테스 아나토미(개정판 2판),라엘 아이자코비츠,이지혜,2021년 04월 27일 출간
19,최고의 당뇨 밥상,마켓온오프,리스컴,2020년 11월 02일 출간
