,title,author,publisher,publish_year
0,트렌드 코리아 2022,김난도,미래의창,2021년 10월 06일 출간
1,그냥 하지 말라,송길영,북스톤,2021년 10월 05일 출간
2,주식투자 절대원칙,박영옥(주식농부),센시오,2021년 11월 01일 출간
3,돈의 심리학(양장본 HardCover),모건 하우절,이지연,2021년 01월 13일 출간
4,대한민국 재건축 재개발 지도,정지영,다산북스,2021년 08월 25일 출간
5,거대한 가속,스콧 갤러웨이,박선령,2021년 10월 05일 출간
6,부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,안진환,2018년 02월 22일 출간 (1쇄 2000년 02월 10일)
7,돈의 속성(150쇄 기념 에디션),김승호,스노우폭스북스,2020년 06월 15일 출간
8,"돈, 뜨겁게 사랑하고 차갑게 다루어라(코스톨라니 투자총서 1)",앙드레 코스톨라니,김재경,2015년 09월 30일 출간
9,부의 추월차선,엠제이 드마코,신소영,2013년 08월 20일 출간
10,투자의 본질,박세익,위너스북,2021년 08월 20일 출간
11,세계미래보고서 2022: 메타 사피엔스가 온다,박영숙,비즈니스북스,2021년 10월 19일 출간
12,메타버스 새로운 기회,김상균,베가북스,2021년 06월 08일 출간
13,당신만 몰랐던 부동산 투자(반양장),김학렬(빠숑),베가북스,2021년 10월 20일 출간
14,존 메이너드 케인스,재커리 D. 카터,김성아,2021년 10월 27일 출간
15,소수점 투자,노정동,책들의정원,2021년 10월 30일 출간
16,2022 한국이 열광할 세계 트렌드,KOTRA,알키,2021년 11월 01일 출간
17,아파트 청약 이렇게 쉬웠어?,김태훈(베니아),송희창(송사무장),2021년 08월 20일 출간
18,월급쟁이 부자로 은퇴하라,너나위,알에이치코리아,2019년 05월 22일 출간
19,NFT 레볼루션,성소라,더퀘스트,2021년 09월 01일 출간
