,title,author,publisher,publish_year
0,다정한 것이 살아남는다(양장본 HardCover),브라이언 헤어,이민아,2021년 07월 26일 출간
1,코스모스(보급판),칼 세이건,홍승수,2010년 01월 20일 출간 (1쇄 2006년 12월 20일)
2,게임하는 뇌,이경민,몽스북,2021년 08월 31일 출간
3,미적분의 힘,스티븐 스트로가츠,이충호,2021년 09월 24일 출간
4,공식의 아름다움(양장본 HardCover),양자학파,김지혜,2021년 11월 10일 출간
5,일어날 일은 일어난다(양장본 HardCover),박권,동아시아,2021년 10월 15일 출간
6,이기적 유전자(40주년 기념판),리처드 도킨스,홍영남,2018년 10월 20일 출간 (1쇄 1993년 11월 15일)
7,외계인 인터뷰,로렌스 R. 스펜서 (편저),유리타,2013년 10월 31일 출간
8,이토록 뜻밖의 뇌과학,리사 팰트먼 배럿,변지영,2021년 08월 05일 출간
9,바디: 우리 몸 안내서,빌 브라이슨,이한음,2020년 01월 10일 출간
10,떨림과 울림(10만부 기념 한정판 리커버),김상욱,동아시아,2018년 11월 07일 출간
11,다크데이터,데이비드 핸드,노태복,2021년 10월 05일 출간
12,미적분의 쓸모(양장본 HardCover),한화택,더퀘스트,2021년 05월 18일 출간
13,김상욱의 양자 공부(양장본 HardCover),김상욱,사이언스북스,2017년 12월 08일 출간
14,6도의 멸종,마크 라이너스,이한중,2014년 09월 25일 출간
15,뇌 과학의 모든 역사(양장본 HardCover),매튜 코브,이한나,2021년 09월 30일 출간
16,발칙한 수학책,최정담(디멘),이광연,2021년 06월 30일 출간
17,지금 다시 계몽(사이언스 클래식 37)(양장본 HardCover),스티븐 핑커,김한영,2021년 08월 31일 출간
18,엔드 오브 타임,브라이언 그린,박병철,2021년 02월 15일 출간
19,시간은 흐르지 않는다(양장본 HardCover),카를로 로벨리,이중원,2019년 06월 10일 출간
