,title,author,publisher,publish_year
0,달러구트 꿈 백화점,이미예,팩토리나인,2020년 07월 08일 출간
1,달러구트 꿈 백화점. 2,이미예,팩토리나인,2021년 07월 27일 출간
2,방금 떠나온 세계(양장본 HardCover),김초엽,한겨레출판사,2021년 10월 20일 출간
3,불편한 편의점,김호연,나무옆의자,2021년 04월 20일 출간
4,작별하지 않는다,한강,문학동네,2021년 09월 09일 출간
5,완전한 행복,정유정,은행나무,2021년 06월 08일 출간
6,지구 끝의 온실,김초엽,자이언트북스,2021년 08월 18일 출간
7,1차원이 되고 싶어,박상영,문학동네,2021년 10월 08일 출간
8,아몬드(양장본 HardCover),손원평,창비,2017년 03월 31일 출간
9,밝은 밤,최은영,문학동네,2021년 07월 27일 출간
10,행성어 서점(양장본 HardCover),김초엽,최인호,2021년 11월 01일 출간
11,우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,2019년 06월 24일 출간
12,모순(양장본 HardCover),양귀자,쓰다,2013년 04월 01일 출간
13,너를 닮은 사람,정소현,문학과지성사,2021년 10월 15일 출간
14,구의 증명(은행나무 노벨라 7),최진영,은행나무,2015년 03월 30일 출간
15,종의 기원,정유정,은행나무,2016년 05월 16일 출간
16,제12회 젊은작가상 수상작품집(2021),전하영,문학동네,2021년 04월 07일 출간
17,눈사람 자살 사건,최승호,달아실,2019년 03월 30일 출간
18,소년이 온다,한강,창비,2014년 05월 19일 출간
19,"칵테일, 러브, 좀비(안전가옥 쇼-트 2)",조예은,안전가옥,2020년 04월 13일 출간
