,title,author,publisher,publish_year
0,비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,2020년 07월 14일 출간
1,혼자 공부하는 파이썬,윤인성,한빛미디어,2019년 06월 10일 출간
2,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019년 06월 20일 출간
3,침묵의 봄,레이첼 카슨,김은령,2011년 12월 30일 출간
4,실전 카프카 개발부터 운영까지,고승범,책만,2021년 10월 29일 출간
5,Clean Code(클린 코드),로버트 C. 마틴,박재호,2013년 12월 24일 출간
6,회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글,전미진,한빛미디어,2020년 04월 10일 출간
7,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희,이지스퍼블리싱,2021년 01월 22일 출간
8,혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월 21일 출간
9,유튜브 영상 편집을 위한 프리미어 프로,조블리(조애리),제이펍,2020년 01월 17일 출간
10,한 권으로 읽는 컴퓨터 구조와 프로그래밍,조너선 스타인하트,오현석,2021년 04월 08일 출간
11,모던 자바스크립트 Deep Dive(위키북스 프로그래밍 & 프랙티스 시리즈 26),이웅모,위키북스,2020년 09월 25일 출간
12,미국 주식으로 시작하는 슬기로운 퀀트투자,김용환,한빛미디어,2021년 09월 30일 출간
13,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,2020년 08월 05일 출간
14,직장인을 위한 실무 엑셀(개정판),선양미,길벗,2019년 03월 04일 출간 (1쇄 2016년 12월 30일)
15,된다! 네이버 블로그&포스트(개정판 4판)(된다! 시리즈),황윤정,이지스퍼블리싱,2021년 05월 31일 출간
16,포토샵&일러스트레이터 CC 2021(맛있는 디자인),빨간고래,한빛미디어,2021년 01월 18일 출간
17,파이썬 알고리즘 인터뷰,박상길,정진호,2020년 07월 15일 출간
18,퇴근 후 스마트스토어로 투잡하기,해밀(박하나),비제이퍼블릭,2020년 09월 25일 출간
19,기계 학습을 다시 묻다,레슬리 밸리언트,이광근,2021년 11월 01일 출간
