,title,author,publisher,publish_year
0,달러구트 꿈 백화점,이미예,팩토리나인,2020년 07월 08일 출간
1,달러구트 꿈 백화점. 2,이미예,팩토리나인,2021년 07월 27일 출간
2,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,권영주,2021년 06월 28일 출간
3,방금 떠나온 세계(양장본 HardCover),김초엽,한겨레출판사,2021년 10월 20일 출간
4,미드나잇 라이브러리,매트 헤이그,노진선,2021년 04월 28일 출간
5,불편한 편의점,김호연,나무옆의자,2021년 04월 20일 출간
6,듄. 1(DUNE)(양장본 HardCover),프랭크 허버트,김승욱,2021년 01월 21일 출간
7,작별하지 않는다,한강,문학동네,2021년 09월 09일 출간
8,인간 실격(세계문학전집 103),다자이 오사무,김춘미,2012년 04월 10일 출간 (1쇄 2004년 05월 15일)
9,완전한 행복,정유정,은행나무,2021년 06월 08일 출간
10,해리 포터와 비밀의 방(미나리마 에디션)(양장본 HardCover),J. K. 롤링,강동혁,2021년 10월 26일 출간
11,지구 끝의 온실,김초엽,자이언트북스,2021년 08월 18일 출간
12,크리스마스 피그(양장본 HardCover),J.K. 롤링,공보경,2021년 10월 12일 출간
13,백조와 박쥐,히가시노 게이고,양윤옥,2021년 08월 16일 출간
14,1차원이 되고 싶어,박상영,문학동네,2021년 10월 08일 출간
15,아몬드(양장본 HardCover),손원평,창비,2017년 03월 31일 출간
16,소문,오기와라 히로시,권일영,2021년 09월 26일 출간
17,요리코를 위해,노리즈키 린타로,이기웅,2020년 03월 04일 출간
18,밝은 밤,최은영,문학동네,2021년 07월 27일 출간
19,행성어 서점(양장본 HardCover),김초엽,최인호,2021년 11월 01일 출간
