,title,author,publisher,publish_year
0,꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,지혜,2020년 11월 30일 출간 (1쇄 2015년 06월 20일)
1,마음챙김의 시,류시화 (엮음),수오서재,2020년 09월 17일 출간
2,지금 알고 있는 걸 그때도 알았더라면,류시화 (엮음),열림원,2014년 12월 03일 출간
3,가장 예쁜 생각을 너에게 주고 싶다,나태주,강라은,2017년 06월 07일 출간
4,에코의 초상,김행숙,문학과지성사,2014년 08월 18일 출간
5,바다는 잘 있습니다(문학과지성 시인선 503),이병률,문학과지성사,2017년 09월 20일 출간
6,당신의 이름을 지어다가 며칠은 먹었다(문학동네시인선 32),박준,문학동네,2017년 06월 30일 출간 (1쇄 2012년 12월 05일)
7,서랍에 저녁을 넣어 두었다(문학과지성 시인선 438),한강,문학과지성사,2013년 11월 15일 출간
8,풀꽃(개정판)(J.H CLASSIC 70)(양장본 HardCover),나태주,지혜,2021년 04월 05일 출간 (1쇄 2014년 09월 15일)
9,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북),김용택 (엮음),위즈덤하우스,2015년 06월 04일 출간
10,사랑하라 한번도 상처받지 않은 것처럼,류시화,오래된미래,2008년 10월 24일 출간 (1쇄 2005년 03월 26일)
11,우리가 함께 장마를 볼 수도 있겠습니다(문학과지성 시인선 519),박준,문학과지성사,2018년 12월 13일 출간
12,입 속의 검은 잎(문학과지성 시인선 80),기형도,문학과지성사,1991년 02월 01일 출간
13,수학자의 아침(문학과지성 시인선 437),김소연,문학과지성사,2013년 11월 11일 출간
14,빛의 자격을 얻어(문학과지성 시인선 557),이혜미,문학과지성사,2021년 08월 24일 출간
15,악의 꽃(초판본)(1857년 오리지널 초판본 표지디자인)(양장본 HardCover),샤를 보들레르,이효숙,2021년 06월 20일 출간
16,당신은 언제 노래가 되지(문학과지성 시인선 542),허연,문학과지성사,2020년 06월 17일 출간
17,가지 말라는데 가고 싶은 길이 있다(나태주 스페셜 에디션)(양장본 HardCover),나태주,&(앤드),2021년 03월 25일 출간
18,오래 보아야 예쁘다 너도 그렇다,나태주 (엮음),한아롱,2015년 12월 15일 출간
19,시가 나에게 살라고 한다,나태주 (엮음),&(앤드),2020년 11월 10일 출간 (1쇄 2020년 10월 30일)
