,title,author,publisher,publish_year
0,채사장의 지대넓얕. 1: 권력의 탄생(생각을 넓혀 주는 어린이 교양 도서 1),채사장,정용환,2021년 09월 17일 출간
1,양순이네 떡집(난 책읽기가 좋아)(양장본 HardCover),김리리,김이랑,2021년 08월 16일 출간
2,세금 내는 아이들,옥효진,김미연,2021년 06월 15일 출간
3,흔한남매 별난 방탈출. 3(양장본 HardCover),흔한남매 (원작),차차,2021년 08월 25일 출간
4,긴긴밤(보름달문고 83),루리,루리,2021년 02월 03일 출간
5,읽으면서 바로 써먹는 어린이 신체 관용구(맛있는공부 43),한날,한날,2021년 08월 25일 출간
6,흔한남매 흔한 MBTI(양장본 HardCover),흔한남매 (원작),투윙스,2021년 09월 01일 출간
7,정재승의 인간탐구보고서. 7: 인간은 타고난 거짓말쟁이다(어린이를 위한 뇌과학 프로젝트),정재은,김현민,2021년 09월 08일 출간
8,초등 사자소학(인성 쑥쑥 한자 쑥쑥),송재환,인호빵,2021년 05월 13일 출간
9,수상한 방송실(북멘토 가치동화 44),박현숙,장서영,2021년 09월 30일 출간
10,이상한 과자 가게 전천당. 1(양장본 HardCover),히로시마 레이코,김정화,2019년 07월 05일 출간
11,포켓몬스터 가라르 도감,대원키즈 편집부,대원키즈,2021년 05월 20일 출간
12,SCP 재단: 확보하고 격리하고 보호하라,올드스테어즈 편집부,Oldstairs(올드스테어즈),2021년 07월 25일 출간
13,위풍당당 여우 꼬리. 1: 으스스 미션 캠프(양장본 HardCover),손원평,만물상,2021년 10월 22일 출간
14,어린이 수수께끼(읽으면서 바로 써먹는)(맛있는 공부 31),한날,파란정원,2020년 05월 20일 출간
15,아홉 살 마음 사전,박성우,김효은,2017년 03월 10일 출간
16,비밀요원 레너드. 9: 산타클로스는 정말 있을까?(양장본 HardCover),박설연,김덕영,2021년 10월 27일 출간
17,열두 살 장래 희망(양장본 HardCover),박성우,홍그림,2021년 07월 23일 출간
18,베서니와 괴물의 복수(베서니와 괴물 시리즈 2)(양장본 HardCover),잭 메기트-필립스,김선희,2021년 09월 30일 출간
19,장군이네 떡집(난 책읽기가 좋아 시리즈)(양장본 HardCover),김리리,이승현,2020년 04월 29일 출간
