,title,author,publisher,publish_year
0,하루쯤 나 혼자 어디라도 가야겠다,장은정,북라이프,2021년 09월 28일 출간
1,리얼 국내여행(2021~2022년),배나영,한빛라이프,2021년 06월 01일 출간
2,백반기행. 2(식객 허영만의),허영만,가디언,2021년 05월 14일 출간
3,백반기행(식객 허영만의),허영만,가디언,2020년 05월 14일 출간
4,리얼 제주(2021~2022년),김태연,한빛라이프,2021년 06월 01일 출간
5,에이든 국내여행 가이드북,타블라라사,이정기,2020년 08월 16일 출간
6,자동차 주말여행 코스북(2020)(전면개정판 3판),유연태,길벗,2020년 07월 17일 출간
7,오는 날이 장날입니다,김진영,상상출판,2021년 10월 05일 출간
8,에이든 제주여행 가이드북,이정기,타블라라사,2021년 07월 16일 출간
9,특별하게 제주(2021~2022),강경필,디스커버리미디어,2021년 10월 15일 출간
10,포르투갈에 물들다,박영진,일파소,2021년 09월 24일 출간
11,만약 우리의 언어가 위스키라고 한다면(양장본 HardCover),무라카미 하루키,이윤정,2020년 06월 18일 출간
12,전국일주 가이드북,유철상,상상출판,2021년 06월 21일 출간
13,제 마음대로 살아보겠습니다,이원지,상상출판,2019년 11월 13일 출간
14,무작정 따라하기 하와이(2020-2021)(3판),박재서,길벗,2020년 02월 07일 출간
15,아름다운 우리 절을 걷다,탁현규,지식서재,2021년 09월 27일 출간
16,끌림(개정판 2판),이병률,달,2010년 07월 01일 출간
17,서울의 맛집(2022)(블루리본서베이),블루리본 서베이,BR미디어,2021년 10월 11일 출간
18,대한민국 오지여행,성연재,그리고책,2021년 07월 15일 출간
19,아이랑 제주 여행(2021-2022),송인희,송인희,2021년 02월 10일 출간
