,title,author,publisher,publish_year
0,방구석 미술관,조원재,블랙피쉬,2018년 08월 03일 출간
1,기묘한 미술관,진병관,빅피시,2021년 09월 08일 출간
2,포인트 캐릭터 드로잉 세트(반양장)(전2권),타코,레진엔터테인먼트,2021년 09월 30일 출간
3,듄: 메이킹필름북,타냐 라푸앵트,김승욱,2021년 11월 19일 출간
4,방구석 미술관. 2: 한국,조원재,블랙피쉬,2020년 11월 18일 출간
5,다른 방식으로 보기(Ways of Seeing),존 버거,최민,2019년 06월 01일 출간 (1쇄 2012년 08월 01일)
6,김락희의 인체 드로잉,김락희,윤관현,2019년 11월 26일 출간
7,"디자인, 이렇게 하면 되나요?",오자와 하야토,구수영,2021년 09월 29일 출간
8,사계절 컬러링북(초록담쟁이의 아름다운 날들),초록담쟁이,초록담쟁이,2021년 08월 25일 출간
9,손그림 메이커,폼피츠,네오아카데미,2020년 05월 08일 출간
10,당장 써! Create Now!,맥라우드 형제,이영래,2021년 10월 25일 출간
11,시크릿 캐릭터 드로잉,타코,레진엔터테인먼트,2019년 04월 25일 출간
12,벌거벗은 미술관,양정무,창비,2021년 08월 13일 출간
13,친절한 빛과 색,박리노,디지털북스,2021년 01월 15일 출간
14,내가 사랑한 화가들,정우철,나무의철학,2021년 04월 25일 출간
15,슈트 드로잉,윤예주,디지털북스,2021년 10월 25일 출간
16,오늘부터 차근차근 아이패드 드로잉,배성규,북라이프,2021년 06월 22일 출간
17,디자인 대사전,오자와 하야토,김영란,2021년 08월 25일 출간
18,마음까지 몽글몽글 아이패드 드로잉,한승현,앤제이BOOKS,2021년 05월 05일 출간
19,한국의 그림책 작가들에게 묻다(반양장),최혜진,해란,2021년 10월 15일 출간
