,title,author,publisher,publish_year
0,이렇게 맛있고 멋진 채식이라면. 3: 사계절이 내 안으로,생강(신주하),혜다,2021년 10월 30일 출간
1,백종원이 추천하는 집밥 메뉴(애장판),백종원,서울문화사,2020년 08월 07일 출간
2,삐뽀삐뽀 119 이유식(개정판),하정훈,유니책방,2017년 12월 01일 출간
3,이렇게 맛있고 멋진 채식이라면. 2: 다이어트가 내 안으로,생강(신주하),혜다,2021년 11월 05일 출간
4,하루 한 끼 면역 밥상(한 그릇 비우고 면역력 채우는),이경미,비타북스,2021년 10월 10일 출간
5,튼이 이유식(세상 쉽고 맛있는),정주희,서사원,2019년 01월 03일 출간
6,이렇게 맛있고 멋진 채식이라면. 1: 초록 식탁이 내 안으로,생강(신주하),혜다,2021년 11월 05일 출간
7,아이주도 이유식 유아식 매뉴얼 세트(개정증보판)(스프링)(전2권),BLW 연구소,안소정,2021년 08월 31일 출간
8,1시간에 만드는 일주일 반찬,서영자,용감한 까치,2021년 04월 27일 출간
9,반죽부터 다시 시작하는 스콘,하영아,길벗,2021년 10월 04일 출간
10,디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우,빅피시,2021년 06월 07일 출간
11,김치 수업(노고추 음식공방의),배명자,상상출판,2021년 10월 11일 출간
12,반죽부터 다시 시작하는 피낭시에&마들렌,하영아,길벗,2021년 10월 04일 출간
13,신상출시 편스토랑,KBS 신상출시 편스토랑 제작팀,그리고책,2021년 09월 15일 출간
14,와인 폴리(매그넘 에디션)(양장본 HardCover),Madeline Puckette,차승은,2020년 01월 06일 출간
15,베이커리 카페 샌드위치,김정윤,비앤씨월드,2021년 09월 02일 출간
16,-10KG 밀가루 단식,최선녀,용감한 까치,2021년 06월 25일 출간
17,반죽부터 다시 시작하는 파운드케이크,하영아,길벗,2021년 10월 04일 출간
18,싹싹 비우고 쑥쑥 크는 삼둥이 율브로맘 튼튼 유아식,류수현,길벗,2021년 10월 20일 출간
19,매일 만들어 먹고 싶은 식빵 샌드위치 & 토핑 핫도그,아리미 신아림,레시피팩토리,2021년 08월 25일 출간
