,title,author,publisher,publish_year
0,숲속 100층짜리 집,이와이 도시오,김숙,2021년 08월 25일 출간
1,나는 약속을 지켜요,다카하마 마사노부,김보혜,2021년 08월 18일 출간
2,나는 강물처럼 말해요(작은곰자리 49)(양장본 HardCover),조던 스콧,김지은,2021년 01월 15일 출간
3,알사탕(그림책이 참 좋아 39)(양장본 HardCover),백희나,책읽는곰,2017년 03월 25일 출간
4,장수탕 선녀님(책 읽는 곰 7)(양장본 HardCover),백희나,책읽는곰,2012년 08월 30일 출간
5,친구의 전설(웅진모두의그림책 42)(양장본 HardCover),이지은,이지은,2021년 06월 16일 출간
6,바다 탐험대 옥토넛 스토리가 있는 동물 사전(양장본 HardCover),메가스터디 유아교재 연구회,메가스터디북스,2020년 05월 29일 출간
7,슈퍼 히어로의 똥 닦는 법(튼튼곰 7)(양장본 HardCover),안영은,최미란,2018년 04월 10일 출간
8,고구마구마(반달 그림책)(양장본 HardCover),사이다,사이다,2017년 02월 27일 출간
9,이파라파냐무냐무(사계절 그림책)(양장본 HardCover),이지은,이지은,2020년 06월 10일 출간
10,이상한 엄마(그림책이 참 좋아 33)(양장본 HardCover),백희나,책읽는곰,2016년 03월 15일 출간
11,바다 탐험대 옥토넛: 깊고 넓은 신비한 바다 여행(양장본 HardCover),메오미,홍연미,2014년 06월 27일 출간
12,오싹오싹 당근(베스트 세계 걸작 그림책 20)(양장본 HardCover),애런 레이놀즈,홍연미,2020년 06월 25일 출간
13,건전지 아빠(양장본 HardCover),전승배,창비,2021년 07월 16일 출간
14,하늘 100층짜리 집(양장본 HardCover),이와이 도시오,김숙,2017년 12월 25일 출간
15,바다 100층짜리 집(양장본 HardCover),이와이 도시오,김숙,2014년 09월 25일 출간
16,42가지 마음의 색깔(양장본 HardCover),크리스티나 누녜스 페레이라,남진희,2019년 12월 23일 출간
17,이상한 손님(그림책이참좋아 47)(양장본 HardCover),백희나,책읽는곰,2018년 03월 21일 출간
18,구름빵(양장본 HardCover),백희나,한솔수북,2019년 12월 05일 출간 (1쇄 2004년 11월 20일)
19,고구마유(반달 그림책)(양장본 HardCover),사이다,사이다,2021년 10월 20일 출간
