,title,author,publisher,publish_year
0,소크라테스 익스프레스,에릭 와이너,김하현,2021년 04월 28일 출간
1,공정하다는 착각(30만 부 기념 리커버 에디션)(리커버:K),마이클 샌델,함규진,2020년 12월 01일 출간
2,어른의 문답법,피터 버고지언,홍한결,2021년 09월 10일 출간
3,생각한다는 착각,닉 채터,김문주,2021년 09월 30일 출간
4,필로소피 랩,조니 톰슨,최다인,2021년 10월 20일 출간
5,생각을 바꾸는 생각들,비카스 샤,임경은,2021년 08월 09일 출간
6,공간의 미래,유현준,을유문화사,2021년 04월 25일 출간
7,행복의 지도,에릭 와이너,김승욱,2021년 09월 03일 출간
8,나는 나답게 살기로 했다,손힘찬,스튜디오오드리,2021년 02월 08일 출간
9,숫자는 어떻게 진실을 말하는가(양장본 HardCover),바츨라프 스밀,강주헌,2021년 09월 16일 출간
10,기분이 태도가 되지 않으려면,나겨울,떠오름,2021년 08월 30일 출간
11,믿는 인간에 대하여,한동일,흐름출판,2021년 09월 30일 출간
12,나는 왜 생각이 많을까?,홋타 슈고,윤지나,2021년 07월 19일 출간
13,아버지의 죽음 앞에서,레이첼 클라크,박미경,2021년 10월 04일 출간
14,사피엔스,유발 하라리,조현욱,2015년 11월 24일 출간
15,정의란 무엇인가(마이클 샌델),마이클 샌델,김명철,2014년 11월 20일 출간
16,질서 너머(특별 한정판 골드에디션),조던 피터슨,김한영,2021년 03월 22일 출간
17,"인문 여행자, 도시를 걷다",김경한,쌤앤파커스,2021년 10월 27일 출간
18,지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,웨일북(whalebooks),2019년 12월 24일 출간
19,심리 읽어드립니다,김경일,한빛비즈,2021년 10월 08일 출간
