,title,author,publisher,publish_year
0,"스위트 SWEET 2021.11 (카페키츠네 보온,보냉백&레저시트)",寶島社, 寶島社 , 2021년 10월 12일
1,스마트 SMART 2021.12 (무라카미 다카시 x 팬케이크 IH팬),寶島社, 寶島社 , 2021년 10월 25일
2,모노마스터 MONOMASTER 2021.12 ( CHUMS 수납컨테이너박스 2종),寶島社, 寶島社 , 2021년 10월 29일
3,뽀빠이 POPEYE 2021.11,マガジンハウス, マガジンハウス , 2021년 10월 13일
4,퍼지 FUDGE 2021.11,三榮書房, 三榮書房 , 2021년 10월 12일
5,글로우 GLOW 2021.12 (웨지우드 만년필&볼펜세트),寶島社, 寶島社 , 2021년 10월 28일
6,오토나노오샤레테쵸우 大人のおしゃれ手帖 2021.11 (SOU.SOU 인테리어 수납박스),寶島社, 寶島社 , 2021년 10월 13일
7,브루터스 BRUTUS 2021.11.01 (村上春樹 下 聽く.觀る.集める.食べる.飮む),マガジンハウス, マガジンハウス , 2021년 10월 15일
8,브루터스 BRUTUS 2021.10.15 (村上春樹 上 讀む),マガジンハウス, マガジンハウス , 2021년 10월 01일
9,쿠루에루 CLUEL 2021.11,ザ.ブックスパ, ザ.ブックスパ , 2021년 10월 12일
10,문예춘추 文藝春秋 2021.11,文藝春秋, 文藝春秋 , 2021년 10월 09일
11,린넨 リンネル 2021.12 (무민 태블릿 파우치),寶島社, 寶島社 , 2021년 10월 20일
12,뽀빠이 POPEYE 2021.10 (2021 A/W FASHION ISSUE),マガジンハウス, マガジンハウス , 2021년 09월 15일
13,멘즈퍼지 MENS FUDGE 2021.12,三榮書房, 三榮書房 , 2021년 10월 25일
14,名探偵コナン 100,?山剛昌, 小學館 , 2021년 10월 18일
15,멘즈퍼지 MENS FUDGE 2021.11,三榮書房, 三榮書房 , 2021년 10월 01일
16,ONKUL VOL.16,三榮書房, 三榮書房 , 2021년 10월 20일
17,카사브루터스 CASA BRUTUS 2021.11,マガジンハウス, マガジンハウス , 2021년 10월 09일
18,안도프리미엄 &PREMIUM 2021.12,マガジンハウス, マガジンハウス , 2021년 10월 19일
19,스테디 STEADY 2021.11 (미피 대용량 수납백),寶島社, 寶島社 , 2021년 10월 13일
