,title,author,publisher,publish_year
0,세계를 건너 너에게 갈게(문학동네청소년 39),이꽃님,문학동네,2021년 09월 24일 출간 (1쇄 2018년 02월 09일)
1,체리새우: 비밀글입니다(문학동네청소년 42),황영미,문학동네,2019년 01월 28일 출간
2,이토록 공부가 재미있어지는 순간(30만부 기념 매직 에디션),박성혁,다산북스,2020년 07월 27일 출간 (1쇄 2015년 02월 02일)
3,죽이고 싶은 아이(우리학교 소설 읽는 시간),이꽃님,우리학교,2021년 06월 07일 출간
4,AI는 인문학을 먹고 산다,한지우,미디어숲,2021년 11월 20일 출간
5,페인트(창비청소년문학 89),이희영,창비,2019년 04월 19일 출간
6,아몬드(창비청소년문학 78)(반양장),손원평,창비,2017년 03월 31일 출간
7,스스로 뒤집는 붕어빵,김지명,메가스터디북스,2021년 10월 11일 출간
8,독고솜에게 반하면,허진희,문학동네,2020년 01월 23일 출간
9,기억 전달자(블루픽션 20),로이스 로리,장은수,2007년 05월 18일 출간
10,가짜 모범생,손현주,특별한서재,2021년 10월 15일 출간
11,시간을 파는 상점(자음과모음 청소년문학 15),김선영,자음과모음,2012년 04월 10일 출간
12,모모(비룡소 걸작선 13),미하엘 엔데,한미희,2009년 10월 20일 출간 (1쇄 1999년 02월 09일)
13,곰브리치 세계사(예일대 특별판)(양장본 HardCover),에른스트 H. 곰브리치,박민수,2019년 06월 05일 출간
14,한국단편소설 40(중고생이 꼭 읽어야 할),김동인,리베르,2012년 11월 26일 출간
15,게으른 십대를 위한 작은 습관의 힘,장근영,메이트북스,2021년 08월 23일 출간
16,더 크게 소리쳐!,아도라 스비탁,김미나,2021년 06월 23일 출간
17,행운이 너에게 다가오는 중(문학동네청소년 51),이꽃님,문학동네,2020년 10월 19일 출간
18,공부의 쓸모,송용섭,다산에듀,2021년 08월 10일 출간
19,리버보이(리커버 특별판)(놀 청소년문학 1)(양장본 HardCover),팀 보울러,정해영,2019년 12월 02일 출간 (1쇄 2018년 08월 16일)
