,title,author,publisher,publish_year
0,THE KINFOLK GARDEN(킨포크 가든)(양장본 HardCover),존 번스,오경아,2021년 10월 01일 출간
1,어른을 위한 두뇌 놀이 책(풀면 풀수록 자꾸만 똑똑해지는),개러스 무어,한빛라이프,2021년 08월 20일 출간
2,V-리그 여자 배구 퍼펙트 가이드 2021-22,강홍구,하빌리스,2021년 10월 21일 출간
3,20212022 V 리그 스카우팅리포트,신승준,브레인스토어,2021년 10월 22일 출간
4,더 챔피언(The Champion)(2021-2022): 유럽축구 가이드북,송영주,한준희,2021년 09월 30일 출간
5,내 강아지 마음 상담소,강형욱,혜다,2019년 11월 15일 출간
6,스프링북 스도쿠. 1(초급 중급)(스프링),스도쿠 존 연구소,시간과공간사,2018년 01월 08일 출간
7,2021 2022 프리미어리그 가이드북(Premier League Guide-Book),히든풋볼,브레인스토어,2021년 09월 17일 출간
8,"안녕, 초코(양장본 HardCover)",최재웅,이보람,2021년 09월 11일 출간
9,소워니놀이터의 띠부띠부 가게놀이,조윤성,시대인,2021년 10월 05일 출간
10,인테리어 디자인과 스타일링의 기본,프리다 람스테드,이유진,2021년 04월 05일 출간
11,골프 상식사전,김기태,김태은,2018년 08월 10일 출간
12,매일 입고 싶은 남자 니트(MㆍLㆍXL 사이즈로 뜨는),일본 보그사,강수현,2021년 09월 15일 출간
13,스프링북 스도쿠. 2(고급 고수)(스프링),스도쿠 존 연구소,시간과공간사,2018년 01월 08일 출간
14,멘사 스도쿠 프리미어 500(멘사 스도쿠 시리즈),피터 고든,보누스,2018년 01월 15일 출간
15,한복이 좋아서 인형이 예뻐서,조영남,성안당,2021년 10월 14일 출간
16,가장 친절한 타로 웨이트 카드 세트(반양장),LUA,구수진,2019년 11월 19일 출간
17,유럽 5대 리그 스카우팅 리포트 2021-22,장원구,하빌리스,2021년 09월 30일 출간
18,오전의 살림 탐구,정이숙,라이프앤페이지,2021년 07월 07일 출간
19,골프에 미치다: 우선 100타는 깨고 보자,이주호,박영사,2021년 04월 30일 출간
