No,,name,address,경도,위도,상태
1,600,창녕군보건소,경상남도 창녕군 창녕읍 교리 996-1 창녕군보건소,128.490437090601,35.5437190646489,정좌표
2,601,태황의료재단한성병원,경상남도 창녕군 창녕읍 교리1길 2,128.492148949143,35.5445948004808,정좌표
3,602,창원시 창원보건소,경상남도 창원시 의창구 신월동 창원보건소 96-2,128.685595289835,35.2279785208434,정좌표
4,603,창원경상국립대학교병원,경상남도 창원시 성산구 삼정자로11,128.705987024403,35.1990604387684,정좌표
5,604,창원파티마병원,경상남도 창원시 의창구 창이대로 45,128.646762585252,35.2374635202238,정좌표
6,605,창원한마음병원,경상남도 창원시 의창구 용동로57번길 8,128.697528657107,35.2385034518742,인근좌표
7,606,통영시보건소,경상남도 통영시 무전동 401-1 통영시보건소,128.43204242359,34.8598931006319,정좌표
8,607,통영적십자병원,경상남도 통영시 중앙로97,128.419885706501,34.8423840287953,정좌표
9,608,하동군보건소,경상남도 하동군 하동읍 읍내리 149-1 하동보건소,127.75261148178,35.0667650944968,정좌표
10,609,새하동병원,경상남도 하동군 하동읍 화심길 39,127.73856130365,35.0830393692057,정좌표
11,610,함안군보건소,경상남도 함안군 가야읍 말산리 100번지,128.410315190686,35.27559732315,정좌표
12,611,영동병원,경상남도 함안군 칠원읍 용산2길 45-13,128.515602883173,35.3089485357648,정좌표
13,612,아라한국병원,경상남도 함안군 산인면 학산2길 17-50,128.431739799522,35.2742686157402,정좌표
14,613,함양군보건소,경상남도 함양군 함양읍 한들로 141,127.731780792775,35.5196754509464,정좌표
15,614,함양성심병원,경상남도 함양군 함양읍 고운로 70,127.729263000732,35.5204849977903,정좌표
16,615,합천군보건소,경상남도 합천군 합천읍 합천리 524-1,128.15684700929,35.5678965500025,정좌표
17,616,산청군보건의료원,경상남도 산청군 산청읍 지리 중앙로97,127.884235588207,35.4160812895511,정좌표
18,617,서귀포시(서귀포보건소),제주특별자치도 서귀포시 중앙로101번길 52,126.555361168022,33.2534859789861,정좌표
19,618,서귀포열린병원,제주특별자치도 서귀포시 일주동로 8638,126.565425573477,33.2544662339739,정좌표
20,619,서귀포의료원,제주특별자치도 서귀포시 장수로 47,126.563892135569,33.2560691945375,정좌표
21,620,서귀포시(동부보건소),제주특별자치도 서귀포시 남원읍 남원리 2359-1 동부보건소,126.703496682806,33.2755795951086,정좌표
22,621,서귀포시(서부보건소),"제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12, 서귀포시 서부보건소",126.253245819766,33.2186738771813,정좌표
23,622,제주시제주보건소,제주특별자치도 제주시 연삼로 264,126.520237718638,33.4915991509171,정좌표
24,623,제주대학교병원,제주특별자치도 제주시 아란13길 15,126.545200685978,33.4672088861274,정좌표
25,624,제주한라병원,제주특별자치도 제주시 도령로 65,126.485218666427,33.489653279622,정좌표
26,625,한마음병원,제주특별자치도 제주시 연신로 52,126.546238650165,33.4962867944089,정좌표
27,626,한국병원,제주특별자치도 제주시 서광로 193,126.51673072674,33.5003932573716,정좌표
28,627,중앙병원,제주특별자치도 제주시 월랑로 91,126.470480779181,33.4923208614648,정좌표
29,628,제주시(동부보건소),제주특별자치도 제주시 구좌읍 김녕리 1697-1 동부보건소 동부보건소,126.751190009522,33.5544539949105,정좌표
30,629,제주시(서부보건소),제주특별자치도 제주시 한림읍 한림리 966-1번지 (한림리),126.269520236652,33.412367005319,정좌표
