기준일,도시,군구,주소,진료소명,평일 운영시간,토요일 운영시간,"일요일/공휴일
운영시간",대표 전화번호,관할보건소,관할보건소 전화번호,장애인 편의사항
2021년 11월 03일 14시,서울,강남구,서울 강남구 삼성동(삼성2동) 8 강남구보건소,강남구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-3423-5555,강남구보건소,02-3423-7138,"수어상담가능, 전자문진표 이용, 의사소통 도움판, 중증장애인 우선검사 시행"
2021년 11월 03일 14시,서울,강남구,서울 강남구 일원로81 삼성서울병원,삼성서울병원,09:00~16:30,09:00~16:30,09:00~16:30,02-1599-3114,강남구보건소,02-3423-7138,
2021년 11월 03일 14시,서울,강남구,서울 강남구 언주로211 강남세브란스병원,강남세브란스병원,09:00~17:00,09:00~12:30,미운영,02-1599-6114,강남구보건소,02-3423-7138,
2021년 11월 03일 14시,서울,강동구,서울 강동구 성내로45,강동구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-3425-6713,강동구보건소,02-3425-6713,
2021년 11월 03일 14시,서울,강동구,서울 강동구 진황도로 61길 53,중앙보훈병원,09:00~17:30,미운영,미운영,02-2225-1114,강동구보건소,02-3425-6713,
2021년 11월 03일 14시,서울,강동구,서울시 강동구 동남로 892,강동경희대병원,09:00~17:00,09:00~12:00,미운영,02-440-7000,강동구보건소,02-3425-6713,
2021년 11월 03일 14시,서울,강동구,서울시 강동구 성안로 150,강동성심병원,08:30~16:30,08:30~11:30,미운영,1588-4100,강동구보건소,02-3425-6713,
2021년 11월 03일 14시,서울,강북구,"서울 강북구 한천로 897, 강북구보건소",강북구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-901-7704.7706,강북구보건소,02)901-7653,수어통영화상전화기 설치
2021년 11월 03일 14시,서울,강서구,서울 강서구 염창동 275-12 강서보건소,강서구보건소,09:00~20:30,09:00~17:30,09:00~17:30,02-2600-5465,강서구보건소,02-2600-5868,
2021년 11월 03일 14시,서울,관악구,서울 관악구 청룡동 1570-1 ,관악구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-879-7133/7136,관악구보건소,02-879-7131,
2021년 11월 03일 14시,서울,관악구,서울특별시 관악구 남부순환로 1636,에이치플러스양지병원,08:30~17:00,08:30~12:30,미운영,1877-8875,관악구보건소,02-879-7131,
2021년 11월 03일 14시,서울,광진구,서울특별시 광진구 자양1동 777,광진구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-450-7090,광진구보건소,02-450-7090,
2021년 11월 03일 14시,서울,광진구,서울특별시 광진구 능동로 120-1,건국대학교병원,08:30~17:00,08:30~12:00,미운영,02-1588-1533,광진구보건소,02-450-7090,
2021년 11월 03일 14시,서울,구로구,"서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터, 구로구보건소",구로구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-860-2012,구로구보건소,02-860-2012,
2021년 11월 03일 14시,서울,구로구,서울 구로구 구로동로 148,고대구로병원,09:00~17:30,미운영,미운영,02-2626-1554,구로구보건소,02-860-2012,
2021년 11월 03일 14시,서울,구로구,서울 구로구 경인로 427,구로성심병원,09:00~17:30,09:00~12:30,미운영,02-2067-1500,구로구보건소,02-860-2012,
2021년 11월 03일 14시,서울,금천구,서울 금천구 시흥제1동 1020 금천구보건소 ,금천구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-2627-2717,금천구보건소,02-2627-2717,
2021년 11월 03일 14시,서울,금천구,서울특별시 금천구 시흥대로 244,희명병원,09:00~17:00,09:00~12:00,09:00~12:00,02-2219-7231,금천구보건소,02-2627-2653,
2021년 11월 03일 14시,서울,노원구,"서울 노원구 상계6.7동 노원구보건소, 701-1",노원구보건소,09:00~21:00,09:00~18:00,13:00~17:00,02-2116-3000,노원구보건소,02-2116-4346,
2021년 11월 03일 14시,서울,노원구,서울 노원구 한글비석로 68,노원을지대학교병원,09:00~17:00,미운영,미운영,02-970-8000,노원구보건소,02-2116-4346,
2021년 11월 03일 14시,서울,노원구,서울 노원구 동일로 1342,상계백병원,09:00~16:00,미운영,미운영,02-950-1114,노원구보건소,02-2116-4346,
2021년 11월 03일 14시,서울,도봉구,서울 도봉구 쌍문동 565,도봉구보건소,"09:00~11:30,13:00~15:00,15:30~17:30,19:00~20:30","09:00~11:30,13:00~15:00,15:30~17:30","09:00~11:30,13:00~15:00,15:30~17:30",02-2091-4434,도봉구보건소,2091-4488,"전자문진표 이용, 휠체어 사용가능, 손말이음센터 연계지원"
2021년 11월 03일 14시,서울,도봉구,서울시 도봉구 우이천로 308(쌍문동) ,한일병원,9:00~17:30,미운영,미운영,02-901-3114,도봉구보건소,2091-4503,
2021년 11월 03일 14시,서울,동대문구,서울 동대문구 용두동 39-9 ,동대문구보건소,"09:00~12:30,13:00~18:00,18:30~21:00","09:00~13:00,13:30~18:00","09:00~13:00,13:30~18:00",02-2127-4283,동대문구보건소,02-2127-4283,
