,title,author,publisher,publish_year
0,해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,2021년 03월 02일 출간 (1쇄 2019년 01월 02일)
1,해커스 토익 RC 리딩(Reading)(개정판 8판),David Cho,해커스어학연구소,2021년 07월 12일 출간 (1쇄 2020년 01월 02일)
2,해커스 토익 LC 리스닝(Listening)(개정판 8판),David Cho,해커스어학연구소,2021년 07월 12일 출간 (1쇄 2020년 01월 02일)
3,해커스 토익 스타트 리딩(Reading) RC(개정판 4판),David Cho,해커스어학연구소,2021년 06월 14일 출간 (1쇄 2020년 01월 02일)
4,토익 단기공략 750+(LC+RC)(ETS),ETS,YBM,2020년 08월 20일 출간
5,ETS 토익 기출 VOCA 출제기관 공식수험서(개정판),ETS,YBM,2018년 06월 05일 출간
6,해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,2021년 08월 02일 출간 (1쇄 2016년 10월 10일)
7,해커스 토익 스타트 리스닝(Listening) LC(개정판 4판),David Cho,해커스어학연구소,2021년 06월 14일 출간 (1쇄 2020년 01월 02일)
8,28시간에 끝내는 토익스피킹 스타트 Lv.6,황인기,시원스쿨닷컴,2021년 08월 13일 출간 (1쇄 2019년 02월 14일)
9,해커스 보카(Hackers Vocabulary)(개정판 2판),David Cho,해커스어학연구소,2015년 07월 01일 출간
10,해커스 토익스피킹(토스) Lv. 7·8(10일 만에 끝내는),해커스 어학연구소,해커스어학연구소,2021년 08월 02일 출간
11,해커스 토익 왕기초 RC Reading 리딩,해커스 어학연구소,해커스어학연구소,2021년 02월 15일 출간 (1쇄 2019년 11월 04일)
12,영단기 토익 기출 보카(커넥츠 영단기),정재현,에스티유니타스,2020년 07월 23일 출간
13,20일 만에 끝내는 해커스 토익 750+ RC(리딩),David Cho,해커스어학연구소,2021년 07월 01일 출간
14,해커스 토익스피킹(토스) 스타트 Lv. 6(10일 만에 끝내는),David Cho,해커스어학연구소,2021년 08월 02일 출간
15,영단기 토익 기본서 RC(한정판),정재현,에스티유니타스,2020년 03월 06일 출간
16,ETS 토익기출 공식입문서 RC,ETS,YBM,2018년 11월 22일 출간
17,20일 만에 끝내는 해커스 토익 750+ LC(리스닝),David Cho,해커스어학연구소,2021년 07월 01일 출간
18,해커스 토플 리딩(Hackers TOEFL Reading)(4판),David Cho,해커스어학연구소,2021년 07월 12일 출간 (1쇄 2019년 08월 01일)
19,해커스 토익 왕기초 LC Listening 리스닝,해커스어학연구소,해커스어학연구소,2021년 02월 15일 출간 (1쇄 2019년 11월 04일)
