,title,author,publisher,publish_year
0,4~7세보다 중요한 시기는 없습니다,이임숙,카시오페아,2021년 08월 02일 출간
1,어떻게 말해줘야 할까,오은영,차상미,2020년 10월 25일 출간
2,믿는 만큼 자라는 아이들(4판),박혜란,나무를심는사람들,2019년 10월 25일 출간
3,EBS 당신의 문해력(EBS 부모교육),김윤정,EBS BOOKS,2021년 08월 20일 출간
4,아들의 뇌,곽윤정,포레스트북스,2021년 10월 12일 출간
5,임신 출산 육아 대백과(2021~2022)(개정판),삼성출판사 편집부,삼성출판사,2021년 07월 31일 출간 (1쇄 2020년 07월 31일)
6,못 참는 아이 욱하는 부모,오은영,코리아닷컴,2016년 05월 15일 출간
7,수학 잘하는 아이는 이렇게 공부합니다(초중고로 이어지는 바른 공부습관 2),류승재,블루무스,2021년 03월 12일 출간
8,세상에서 제일 재밌는 종이접기(세상에서 제일 시리즈),네모아저씨 이원표,슬로래빗,2018년 08월 24일 출간
9,다시 아이를 키운다면,박혜란,나무를심는사람들,2019년 05월 30일 출간
10,엄마의 어휘력,표유진,앵글북스,2021년 08월 24일 출간
11,예민한 아이 잘 키우는 법,최치현,유노라이프,2021년 10월 07일 출간
12,아기 발달 백과(김수연의)(개정판),김수연,지식너머,2019년 07월 22일 출간
13,초등생의 수학 학부모의 계획,김수희,사람in,2021년 09월 15일 출간
14,삐뽀삐뽀 119 소아과(개정판 12판),하정훈,하정훈,2016년 07월 15일 출간 (1쇄 1997년 01월 25일)
15,불안한 엄마 무관심한 아빠(리커버),오은영,김영사,2021년 03월 29일 출간
16,초중고 영어공부 로드맵(바른 교육 시리즈 18),허준석,서사원,2021년 10월 29일 출간
17,나의 상처를 아이에게 대물림하지 않으려면,김유라,한국경제신문,2021년 10월 25일 출간
18,모든 아이는 특별하다,박혜란,나무를심는사람들,2019년 04월 22일 출간
19,엄마 나는 자라고 있어요,헤티 판 더 레이트,유영미,2019년 11월 15일 출간
