,title,author,publisher,publish_year
0,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,권영주,2021년 06월 28일 출간
1,미드나잇 라이브러리,매트 헤이그,노진선,2021년 04월 28일 출간
2,듄. 1(DUNE)(양장본 HardCover),프랭크 허버트,김승욱,2021년 01월 21일 출간
3,인간 실격(세계문학전집 103),다자이 오사무,김춘미,2012년 04월 10일 출간 (1쇄 2004년 05월 15일)
4,해리 포터와 비밀의 방(미나리마 에디션)(양장본 HardCover),J. K. 롤링,강동혁,2021년 10월 26일 출간
5,크리스마스 피그(양장본 HardCover),J.K. 롤링,공보경,2021년 10월 12일 출간
6,백조와 박쥐,히가시노 게이고,양윤옥,2021년 08월 16일 출간
7,소문,오기와라 히로시,권일영,2021년 09월 26일 출간
8,요리코를 위해,노리즈키 린타로,이기웅,2020년 03월 04일 출간
9,나미야 잡화점의 기적(양장본 HardCover),히가시노 게이고,양윤옥,2021년 03월 02일 출간 (1쇄 2012년 12월 19일)
10,멋진 신세계,올더스 헉슬리,안정효,2015년 06월 12일 출간
11,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,이순학,2017년 10월 30일 출간
12,데미안(세계문학전집 44),헤르만 헤세,전영애,2009년 01월 20일 출간 (1쇄 1997년 08월 01일)
13,봉제인형 살인사건,다니엘 콜,유혜인,2017년 10월 20일 출간
14,영혼 통행증(미야베 월드 제2막),미야베 미유키,김소연,2021년 11월 05일 출간
15,파친코. 1,이민진,이미정,2018년 03월 09일 출간
16,해리 포터와 마법사의 돌(미나리마 에디션)(양장본 HardCover),J. K. 롤링,강동혁,2020년 10월 20일 출간
17,연애시대(양장본 HardCover),노자와 히사시,신유희,2021년 09월 08일 출간
18,해리포터:마법같은 1년(양장본 HardCover),J.K롤링,강동혁,2021년 10월 05일 출간
19,킹덤,요 네스뵈,김승욱,2021년 10월 11일 출간
