,title,author,publisher,publish_year
0,주술회전 팬북,Gege Akutami,이정운,2021년 10월 29일 출간
1,열혈강호. 84,전극진,양재현,2021년 10월 14일 출간
2,나 혼자만 레벨업. 5(만화)(일반판)(디앤씨웹툰비즈),장성락(REDICE STUDIO),디앤씨웹툰비즈,2021년 10월 07일 출간
3,지박소년 하나코 군. 0,AidaIro,장혜영,2021년 10월 30일 출간
4,도쿄 리벤저스. 13,Ken Wakui,학산문학사,2021년 10월 25일 출간
5,나의 히어로 아카데미아. 31,Kohei Horikoshi,오경화,2021년 09월 30일 출간
6,원피스. 99: 밀짚모자 루피,Eiichiro Oda,대원씨아이,2021년 08월 13일 출간
7,귀멸의 칼날. 23(완결),고토게 코요하루,학산문화사,2021년 04월 25일 출간
8,드래곤볼 슈퍼. 16,토리야마 아키라 (원작),유유리,2021년 10월 20일 출간
9,귀멸의 칼날 공식팬북,고토게 코요하루,학산문화사,2020년 09월 24일 출간
10,하이큐 파이널 가이드북 배구극,Haruichi Furudate,강동욱,2021년 07월 31일 출간
11,진격의 거인. 34(완결),Hajime Isayama,학산문화사,2021년 08월 30일 출간
12,아메리카노 엑소더스. 11,박지은,박지은,2021년 10월 01일 출간
13,단다단. 1,Yukinobu Tatsu,대원씨아이,2021년 10월 27일 출간
14,신부 이야기. 13,Kaoru Mori,대원씨아이,2021년 09월 10일 출간
15,재혼 황후. 5,알파타르트 (원작),숨풀,2021년 10월 28일 출간
16,하이큐!!. 45,Haruichi Furudate,강동욱,2020년 12월 31일 출간
17,아이즈(I's) 완전판. 7,Masakazu Katsura,신원길,2021년 10월 30일 출간
18,명탐정 코난. 99,Aoyama Gosho,서울미디어코믹스(서울문화사),2021년 07월 23일 출간
19,체인소 맨. 1,Tatsuki Fujimoto,김시내,2020년 09월 25일 출간
