,title,author,publisher,publish_year
0,The Midnight Library,"Haig, Matt", Cannongate , 2021년 02월 18일
1,The 143-Storey Treehouse,"Griffiths, Andy", Pan Macmillan , 2021년 10월 19일
2,"Dune (Dune Chronicles, Book 1)",Frank Herbert, Ace , 1965년 02월 01일
3,Wonder,R. J. Palacio, Random House USA Inc , 2014년 06월 01일
4,ENGLISH FOR EVERYDAY ACTIVITIES,LAWRENCE J. ZWIER, COMPASS PUBLISHING , 2011년 02월 01일
5,Paw Patrol Girls My Busy Book 퍼피 구조대 걸즈 비지북 (미니피규어 10개 + 놀이판),Phidal, Phidal Art , 2019년 01월 01일
6,Harry Potter and the Chamber of Secrets: MinaLima Edition,J. K. Rowling, Scholastic Inc. , 2021년 10월 26일
7,The Christmas Pig,J. K. Rowling, Hachette Children's Group , 2021년 10월 12일
8,Paradise * 2021 노벨문학상 압둘라자크 구르나 *,Abdulrazak Gurnah, Bloomsbury Publishing , 2004년 11월 15일
9,"Diary of a Wimpy Kid: Big Shot (Book 16 ,미국판)",Jeff Kinney, Amulet Books , 2021년 10월 26일
10,Basic Grammar In Use With Answers (한국어판),Raymond Murphy, CAMBRIDGE , 2011년 02월 01일
11,When You Trap a Tiger (2021 Newbery Winner),Tae Keller, Random House USA Inc , 2020년 01월 28일
12,13 Reasons Why (NETFLIX),"Asher, Jay", Razorbill , 2017년 03월 07일
13,Smart Phonics 1 : Student Book (New Edition),이퓨쳐 편집부, 이퓨쳐 , 2010년 09월 01일
14,"Dune (Dune Chronicles, Book 1)",Frank Herbert, Ace Books , 2005년 07월 30일
15,Tuesdays with Morrie,Mitch Albom, Anchor Books , 2005년 12월 01일
16,Smart Phonics 2 : Student Book (New Edition),이퓨쳐 편집부, 이퓨쳐 , 2010년 09월 01일
17,Bricks Reading 50. 1,Bricks 편집부, 사회평론 , 2016년 06월 01일
18,Harry Potter and the Sorcerer's Stone,J. K. Rowling, Scholastic , 1999년 09월 07일
19,Holes (1999 Newbery Medal Winner),Louis Sachar, Yearling Books , 2000년 05월 09일
