,title,author,publisher,publish_year
0,설민석의 한국사 대모험. 18,설민석,정현희,2021년 10월 18일 출간
1,흔한남매. 8(양장본 HardCover),흔한남매 (원작),유난희,2021년 07월 14일 출간
2,그리스 로마 신화. 25: 파리스의 심판(양장본 HardCover),박시연,최우빈,2021년 10월 13일 출간
3,흔한남매의 흔한 호기심. 4,흔한남매,유난희,2021년 09월 09일 출간
4,설민석의 세계사 대모험.10,설민석,박성일,2021년 09월 30일 출간
5,흔한남매 과학 탐험대. 2: 지구와 달(양장본 HardCover),흔한남매 (원작),김덕영,2021년 08월 27일 출간
6,에그박사. 4(양장본 HardCover),에그박사 (원작),홍종현,2021년 08월 05일 출간
7,말이야와 친구들. 3(양장본 HardCover),말이야와 친구들 (원작),이혜림,2021년 09월 30일 출간
8,흔한남매 불꽃 튀는 우리말. 3,흔한남매 (원작),유희석,2021년 08월 26일 출간
9,Go Go 카카오프렌즈. 21: 캐나다,김미영,김정한,2021년 08월 25일 출간
10,급식왕 GO. 4(양장본 HardCover),급식왕 (원작),구은미,2021년 09월 08일 출간
11,신비아파트 고스트볼Z 어둠의 퇴마사. 1,서울문화사 편집부,서울문화사,2021년 10월 15일 출간
12,놓지 마 과학!. 15: 사라진 마이아사우라의 호박 장식을 찾아라,신태훈,류진숙,2021년 08월 18일 출간
13,엉덩이 댄디 더 영. 2: 해적의 보물을 찾아라!(전설의 모험왕)(양장본 HardCover),트롤 (원작),김정화,2021년 10월 25일 출간
14,토깽이네 지구 구출 대작전. 2: 음식물 쓰레기에서 지구를 구하라(양장본 HardCover),토깽이네,양선모,2021년 10월 07일 출간
15,마법천자문. 51: 찬란하게 빛나라! 빛날 휘,유대영,홍거북,2021년 07월 12일 출간
16,내일은 실험왕 시즌 2. 1: 4차 산업 혁명과 증강 현실,스토리 a.,홍종현,2021년 08월 31일 출간
17,쿠키런 킹덤. 3: 용의 언덕 하편(양장본 HardCover),김강현,김기수,2021년 10월 21일 출간
18,"픽셀리 초능력 히어로즈. 6: 평창, 속초, 강릉 투어(잠뜰TV)",김강현,유희석,2021년 10월 01일 출간
19,"포켓몬스터 극장판 애니 만화: 정글의 아이, 코코",학산문화사 편집부,학산문화사,2021년 09월 25일 출간
