,title,author,publisher,publish_year
0,인생은 실전이다,주언규,상상스퀘어,2021년 09월 08일 출간
1,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,장명숙,김영사,2021년 08월 18일 출간
2,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),소윤,북로망스,2021년 09월 29일 출간 (1쇄 2021년 03월 24일)
3,마음의 주인,이기주,말글터,2021년 08월 17일 출간
4,모든 것은 기본에서 시작한다,손웅정,수오서재,2021년 10월 15일 출간
5,너의 말이 좋아서 밑줄을 그었다,림태주,웅진지식하우스,2021년 10월 15일 출간
6,오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),손힘찬(오가타 마리토),이다영,2021년 03월 10일 출간
7,그러라 그래(양장본 HardCover),양희은,김영사,2021년 04월 12일 출간
8,상대적이며 절대적인 지식의 백과사전(반양장),베르나르 베르베르,이세욱,2021년 11월 10일 출간
9,취향의 기쁨,권예슬,권예슬,2021년 10월 20일 출간
10,잘했고 잘하고 있고 잘 될 것이다,정영욱,부크럼,2021년 05월 14일 출간
11,일기,황정은,창비,2021년 10월 18일 출간
12,참 눈치 없는 언어들,안현진,월요일의 꿈,2021년 10월 28일 출간
13,내일은 내일의 해가 뜨겠지만 오늘 밤은 어떡하나요,연정,발코니,2020년 04월 20일 출간
14,하프 브로크,진저 개프니,허형은,2021년 11월 03일 출간
15,나라는 식물을 키워보기로 했다,김은주,워리 라인스,2021년 07월 23일 출간
16,어린이라는 세계,김소영,사계절,2020년 11월 16일 출간
17,이제는 오해하면 그대로 둔다,김다슬,스튜디오오드리,2021년 10월 15일 출간
18,우리는 조구만 존재야,조구만 스튜디오,조구만 스튜디오,2020년 12월 11일 출간
19,이 미로의 끝은 행복일 거야,나란,북로망스,2021년 10월 20일 출간
