,title,author,publisher,publish_year
0,거꾸로 읽는 세계사,유시민,돌베개,2021년 10월 29일 출간
1,총 균 쇠,재레드 다이아몬드,김진준,2005년 12월 19일 출간
2,메트로폴리스(양장본 HardCover),벤 윌슨,박수철,2021년 03월 08일 출간
3,소비의 역사(개정판)(리커버:K),설혜심,휴머니스트,2021년 10월 25일 출간
4,처음 읽는 음식의 세계사,미야자키 마사카츠,한세희,2021년 03월 29일 출간
5,세계사를 바꾼 10가지 감염병,조지무쇼,서수지,2021년 08월 18일 출간
6,썬킴의 거침없는 세계사,썬킴,지식의숲,2021년 04월 26일 출간
7,세계사 최대한 쉽게 설명해 드립니다(완역판)(누구나 교양 1),만프레트 마이,김태환,2018년 12월 24일 출간
8,나의 문화유산답사기: 제주편(감귤 에디션),유홍준,창비,2021년 07월 26일 출간
9,독살로 읽는 세계사,엘리너 허먼,솝희,2021년 04월 27일 출간
10,빵으로 읽는 세계사,이영숙,스몰빅인사이트,2021년 10월 11일 출간
11,나의 한국현대사 1959-2020,유시민,돌베개,2021년 01월 20일 출간
12,친일파 열전,박시백,비아북,2021년 08월 09일 출간
13,"술, 질병, 전쟁: 미생물이 만든 역사",김응빈,교보문고,2021년 10월 20일 출간
14,로마 시티 ROME CITY,이상록,이상록,2021년 09월 28일 출간
15,세계사를 바꾼 10가지 약,사토 겐타로,서수지,2018년 05월 10일 출간
16,"그때, 맥주가 있었다",미카 리싸넨,이상원,2019년 08월 30일 출간 (1쇄 2017년 08월 14일)
17,설민석의 조선왕조실록,설민석,최준석,2016년 07월 20일 출간
18,일본의 굴레(양장본 HardCover),태가트 머피R,윤영수,2021년 02월 15일 출간
19,처음 읽는 술의 세계사,미야자키 마사카츠,정세환,2020년 10월 26일 출간
