,title,author,publisher,publish_year
0,EEA: English for Everyday Activities(한글판)(개정판 3판),Lawrence J. Zwier,웅진컴퍼스,2020년 12월 17일 출간
1,해커스 OPIc 오픽 Advanced 공략(2주 만에 끝내는)(개정판 2판),해커스 오픽연구소,해커스,2020년 08월 10일 출간 (1쇄 2016년 07월 12일)
2,세진 쌤의 바로 영어,박세진,다락원,2021년 09월 15일 출간
3,그래머 게이트웨이 베이직: 초보를 위한 기초 영문법(Grammar Gateway Basic)(해커스)(증보판),David Cho,해커스어학연구소,2021년 05월 17일 출간 (1쇄 2019년 05월 27일)
4,영어 회화의 결정적 단어들,서영조,사람in,2020년 03월 06일 출간
5,오픽노잼,오픽노잼 편집부,오픽노잼,2021년 02월 01일 출간
6,해커스 OPIc 오픽 START Intermediate 공략(2주 만에 끝내는)(개정판 3판),해커스 오픽연구소,해커스,2021년 07월 13일 출간 (1쇄 2016년 08월 24일)
7,해커스 일본어 첫걸음: 기초20일 독학 완성!,해커스 일본어연구소,해커스어학연구소,2021년 07월 08일 출간
8,해커스 구문독해 100: 100개 필수구문으로 영어 직독직해(해석이 쉬워지는),해커스 어학연구소,해커스어학연구소,2021년 03월 15일 출간 (1쇄 2019년 06월 10일)
9,미국 영어발음 무작정 따라하기,오경은,김혜연,2015년 10월 25일 출간
10,왕초보 영어회화 10분의 기적: 기초패턴으로 말하기(해커스톡),해커스어학연구소,해커스어학연구소,2021년 03월 15일 출간 (1쇄 2018년 10월 05일)
11,쉬운 단어로 1분 영어 말하기,에스텔,넥서스,2020년 08월 28일 출간
12,시원스쿨 기초 영어법(개정판),이시원,시원스쿨닷컴,2020년 10월 16일 출간 (1쇄 2012년 12월 10일)
13,읽으면 영어천재가 되는 만화책,Mr. Sun 어학연구소,Oldstairs(올드스테어즈),2021년 03월 15일 출간
14,기적의 말하기 영단어 1000(무료 MP3 파일),이시원,시원스쿨닷컴,2019년 02월 12일 출간
15,비즈니스 영어 실수 고침 사전(Fixed! 틀리고도 몰랐을),Grant Sundbye,길벗이지톡,2021년 10월 10일 출간
16,영어회화 핵심패턴 233,백선엽,길벗이지톡,2016년 08월 15일 출간
17,입이 터질 수밖에 없는 영어회화,이근철,로그인,2021년 11월 10일 출간
18,그래머 게이트웨이 인터미디엇: 영어가 쉬워지는 기초 영문법 (Grammar Gateway Intermediate)(해커스),해커스 어학연구소,해커스어학연구소,2021년 07월 05일 출간 (1쇄 2014년 09월 01일)
19,이현석의 입이 트이는 영어 최고의 스피킹 60: 일상생활 편(EBS 영어 학습 시리즈),이현석,EBS BOOKS,2020년 10월 10일 출간
