,title,author,publisher,publish_year
0,럭키,김도윤,북로망스,2021년 08월 25일 출간
1,오은영의 화해,오은영,코리아닷컴,2019년 01월 10일 출간
2,공부의 본질,이윤규,빅피시,2021년 10월 15일 출간
3,지금은 나만의 시간입니다,김유진,토네이도,2021년 10월 15일 출간
4,전달의 법칙(단 1줄로 사로잡는),모토하시 아도,김정환,2021년 10월 15일 출간
5,모든 관계는 나에게 달려 있다,황시투안,정은지,2021년 10월 10일 출간
6,언바운드,조용민,인플루엔셜,2021년 09월 01일 출간
7,서울 자가에 대기업 다니는 김 부장 이야기. 1: 김부장 편,송희구,서삼독,2021년 08월 25일 출간
8,스타트 위드 와이(Start With Why),사이먼 시넥,윤혜리,2021년 10월 26일 출간
9,하버드 지혜 수업,무천강,정은지,2021년 10월 20일 출간
10,데일 카네기 인간관계론,데일 카네기,임상훈,2019년 10월 07일 출간
11,아들아 세상의 중심에 너 홀로 서라,필립 체스터필더,이은경,2021년 10월 25일 출간
12,기분이 태도가 되지 않게,레몬심리,박영란,2020년 06월 30일 출간
13,데일 카네기 자기관리론(1948년 초판 완역본),데일 카네기,임상훈,2021년 01월 13일 출간
14,타이탄의 도구들(리커버 에디션),팀 페리스,박선령,2020년 03월 09일 출간 (1쇄 2017년 04월 03일)
15,마지막 몰입: 나를 넘어서는 힘,짐 퀵,김미정,2021년 02월 23일 출간
16,예민한 사람을 위한 좋은 심리 습관,캐린 홀,신솔잎,2021년 10월 29일 출간
17,생각하라 그리고 부자가 되어라,나폴레온 힐,이한이,2021년 01월 05일 출간
18,더 보스(The Boss),안규호,떠오름,2021년 05월 17일 출간
19,왜 일하는가(양장본 HardCover),이나모리 가즈오,김윤경,2021년 04월 12일 출간
