,title,author,publisher,publish_year
0,나는 마도왕이다. 9,데카스펠, 고렘팩토리 , 2021년 11월 01일
1,등선인 줄 알았더니 전생이었다. 12,노경찬, 인타임 , 2021년 10월 01일
2,회귀로 압도한다. 49,우명, 고렘팩토리 , 2021년 09월 20일
3,"인생, 다시 한 번!. 38(완결)",어진용, NEW EPISODE , 2018년 08월 08일
4,내 집 아래 경험치 800% 지하던전. 8(완결),아길론, 제이플러스미디어 , 2021년 10월 01일
5,세계로 간다!. 16(완결),주치네, NEW EPISODE , 2020년 01월 10일
6,마도단천(魔刀斷天). 11(완결),미라클리, 뿔미디어 , 2021년 10월 14일
7,최종 보스 : 빛을 향해 달리는 그림자 1부. 17 (완결),무장, 스토리위즈 , 2021년 10월 19일
8,공작가의 역대급 신동. 12,체나, 엠스토리허브 , 2021년 06월 24일
9,인생 리셋 오 일병!. 19(완결),세상s, KW북스 , 2021년 10월 08일
10,1클래스 마법사의 슬기로운 스킬생활. 12,신필, 고렘팩토리 , 2021년 11월 01일
11,밤이 돌아오더라도. 2(완결),우지혜, 폴라리스 , 2021년 11월 01일
12,이번 생은 부동산이다!. 외전(완결),글로노동자, NEW EPISODE , 2020년 11월 18일
13,무직전생. 22,리후진 나 마고노테, 학산문화사 , 2021년 01월 10일
14,악인들의 대사형. 25 외전(완결),류진, 인타임 , 2021년 08월 17일
15,회귀한 마궁수는 다재다능. 10,소우, 고렘팩토리 , 2021년 11월 01일
16,미술천재가 입학했다. 10(완결),한율(寒慄), 제이플러스미디어 , 2021년 10월 01일
17,검선마도. 16(완결),조돈형, 청어람 , 2019년 11월 01일
18,만렙 랭커의 스킬독점. 8,시골쮜, 고렘팩토리 , 2021년 11월 01일
19,메디컬 환생. 7(완결),유인, NEW EPISODE , 2018년 08월 28일
