,title,author,publisher,publish_year
0,사람이 싫다,손수호,브레인스토어,2021년 10월 08일 출간
1,권력의 원리,줄리 바틸라나,최윤영,2021년 10월 13일 출간
2,"난세의 영웅, 허경영을 아십니까?",허경영,소울미디어,2021년 08월 31일 출간
3,요즘 애들,앤 헬렌 피터슨,박다솜,2021년 10월 25일 출간
4,눈 떠보니 선진국,박태웅,한빛비즈,2021년 08월 01일 출간
5,지구를 위한다는 착각,마이클 셸런버거,노정태,2021년 04월 27일 출간
6,메르켈 리더십(양장본 HardCover),케이티 마튼,윤철희,2021년 10월 08일 출간
7,선량한 차별주의자,김지혜,창비,2019년 07월 17일 출간
8,유한계급론(개정판),소스타인 베블런,김성균,2012년 02월 06일 출간
9,이것이 우리가 원했던 나라인가,진중권,21세기북스,2021년 10월 06일 출간
10,지리의 힘,팀 마샬,김미선,2016년 08월 10일 출간
11,미쳐있고 괴상하며 오만하고 똑똑한 여자들,하미나,동아시아,2021년 09월 15일 출간
12,지속 불가능 자본주의,사이토 고헤이,김영현,2021년 10월 19일 출간
13,두 번째 지구는 없다,타일러 라쉬,알에이치코리아,2020년 07월 15일 출간
14,한국의 능력주의,박권일,이데아,2021년 09월 13일 출간
15,조국의 시간,조국,한길사,2021년 05월 31일 출간
16,왜 세계의 절반은 굶주리는가?(개정증보판),장 지글러,유영미,2016년 03월 21일 출간 (1쇄 2007년 03월 07일)
17,우리에겐 절망할 권리가 없다,김누리,해냄출판사,2021년 10월 18일 출간
18,노예의 길(자유주의시리즈 71),프리드리히 A. 하이에크,김이석,2018년 04월 20일 출간
19,세상을 바꾼 명연설: 사회 편,정인성,답,2021년 10월 19일 출간
