,title,author,publisher,publish_year
0,만화 영원한 언약의 약속(만화로 보는 구속사 시리즈 11),박윤식,필그림,2021년 10월 27일 출간
1,하나님의 인도하심을 구하라,유기성,규장,2021년 10월 15일 출간
2,성경 에센스,김윤희,두란노서원,2021년 09월 15일 출간
3,"나는 이제, 다르다(양장본 HardCover)",김서권,HIM,2021년 10월 20일 출간
4,순례자의 길(개정판 2판)(기독교 영성 시리즈),무명의 순례자,엄성옥 외,2003년 10월 09일 출간
5,페이지 처치. 2: 쓰러진 김에 엎드려 하나님을 만났다,신재웅,규장,2021년 08월 30일 출간
6,깨어진 그릇,김태훈,규장,2021년 10월 28일 출간
7,5가지 사랑의 언어(개정증보판 3판)(반양장),게리 채프먼,장동숙,2010년 04월 06일 출간 (1쇄 2010년 03월 25일)
8,영적 발돋움,헨리 나우웬,이상미,2007년 04월 02일 출간
9,"팀 켈러, 결혼을 말하다",팀 켈러,최종훈,2014년 05월 26일 출간
10,따라 하는 기도,장재기,규장,2021년 03월 22일 출간
11,책 읽는 삶,C. S. 루이스,윤종석,2021년 07월 14일 출간
12,순전한 기독교(믿음의 글들 185),C. S. 루이스,장경철,2018년 12월 17일 출간 (1쇄 2011년 06월 15일)
13,팀 켈러의 내가 만든 신,팀 켈러,윤종석,2017년 05월 09일 출간
14,기독교 영성사(3판),브래들리 P. 홀트,엄성옥,2017년 01월 15일 출간 (1쇄 1994년 12월 01일)
15,일과 영성(팀 켈러의),팀 켈러,최종훈,2013년 11월 18일 출간
16,조용히 솔바람 소리를 듣는 것,동명,조계종출판사,2021년 09월 27일 출간
17,스크루테이프의 편지,C. S. 루이스,김선형,2018년 11월 15일 출간
18,목적이 이끄는 삶,릭 워렌,고성삼,2010년 05월 27일 출간
19,삶이 묻고 나우웬이 답하다,크리스 프리쳇,이원기,2021년 10월 06일 출간
